feature,healthy_non_null_ratio,defective_non_null_ratio,healthy_mean,defective_mean,healthy_median,defective_median,healthy_std,defective_std,healthy_abs_gt_3_rate,defective_abs_gt_3_rate,healthy_abs_gt_5_rate,defective_abs_gt_5_rate,abs_mean_shift,abs_median_shift,outlier_rate_gap_3,outlier_rate_gap_5
rjg,1.0,1.0,62.58644104003906,249.51536560058594,0.0,238.7604217529297,124.637451171875,98.5040512084961,0.20797662773630357,1.0,0.20797662773630357,1.0,186.92892456054688,238.7604217529297,0.7920233722636965,0.7920233722636965
rjp,1.0,1.0,5.896545886993408,-40.5031852722168,0.0,-41.14735794067383,15.748385429382324,59.790794372558594,0.19593935009937427,0.9757686203045088,0.18887429683055812,0.9391922873434836,46.399731159210205,41.14735794067383,0.7798292702051346,0.7503179905129255
rftj,1.0,1.0,-0.007446284871548414,5.937075138092041,0.0,0.0,1.0,26.601224899291992,0.0008006123982555077,0.09817177120686614,0.0008006123982555077,0.09817177120686614,5.944521422963589,0.0,0.09737115880861064,0.09737115880861064
fzs2,1.0,1.0,-4.934805870056152,-10.769662857055664,0.0,0.0,17.405540466308594,33.7213134765625,0.14335877969815508,0.16677444006819117,0.14199633403796588,0.1605431779436835,5.834856986999512,0.0,0.02341566037003609,0.01854684390571762
2fzs2,1.0,1.0,-4.938484191894531,-10.770472526550293,0.0,-0.16666242480278015,17.40264129638672,33.713741302490234,0.14325343596154252,0.1669037681500206,0.1418277840593858,0.1603785785668097,5.831988334655762,0.16666242480278015,0.023650332188478063,0.018550794507423918
2fysy,1.0,1.0,-1.9447544813156128,-7.463689804077148,0.0,-2.454636335372925,13.566675186157227,27.79964828491211,0.18791918028527083,0.33495973193815765,0.01435483984240577,0.05401210981129857,5.518935322761536,2.454636335372925,0.14704055165288682,0.0396572699688928
fysy,1.0,1.0,-1.8144612312316895,-6.794494152069092,0.0,-2.250007152557373,12.450555801391602,25.503400802612305,0.09292722152383226,0.18555052613015108,0.013778960748923739,0.0527070718946564,4.980032920837402,2.250007152557373,0.09262330460631882,0.03892811114573266
jhdb,1.0,1.0,-1.6764558553695679,-6.1433515548706055,0.0,-0.222421333193779,17.289487838745117,34.43275451660156,0.10151624751564355,0.16047263535359474,0.007254671994718767,0.03637646228910705,4.466895699501038,0.222421333193779,0.058956387837951194,0.029121790294388283
2jhdb,1.0,1.0,-1.6838970184326172,-6.143678188323975,0.0,-0.222421333193779,17.326915740966797,34.43502426147461,0.1021834245141898,0.15959085297748515,0.007324901152460478,0.03647051907589207,4.459781169891357,0.222421333193779,0.05740742846329536,0.029145617923431594
jhdc,1.0,1.0,-1.6313332319259644,-5.9918694496154785,0.0,0.0,17.256122589111328,34.38457107543945,0.09525882956085707,0.15393568867203575,0.007254671994718767,0.03892775263065076,4.360536217689514,0.0,0.058676859111178675,0.03167308063593199
2jhdc,1.0,1.0,-1.6381491422653198,-5.993326187133789,0.0,0.0,17.290267944335938,34.388736724853516,0.09542737953943718,0.15335959085297748,0.007310855320912136,0.03891599553230263,4.355177044868469,0.0,0.0579322113135403,0.03160514021139049
2rysy,1.0,1.0,-1.8481144905090332,-5.762531757354736,0.0,-1.7999610900878906,11.492506980895996,19.486305236816406,0.21829329100856093,0.3387102463112104,0.021595466005576196,0.09103521250955264,3.914417266845703,1.7999610900878906,0.12041695530264945,0.06943974650397644
rysy,1.0,1.0,-1.8754011392593384,-5.726718902587891,0.0,-1.7333043813705444,11.499858856201172,19.50243377685547,0.2181809243561742,0.331032861089883,0.02150416810051197,0.08067720886485215,3.8513177633285522,1.7333043813705444,0.1128519367337088,0.05917304076434018
jhda,1.0,1.0,-1.2627856731414795,-4.970848083496094,0.0,0.10064349323511124,15.448664665222168,30.818222045898438,0.03783244727545983,0.10251014049732526,0.007254671994718767,0.04096173064487684,3.7080624103546143,0.10064349323511124,0.06467769322186544,0.03370705865015807
2jhda,1.0,1.0,-1.2690595388412476,-4.972164154052734,0.0,0.10064349323511124,15.477712631225586,30.823179244995117,0.03798695142249159,0.10249838339897713,0.007303832405137965,0.04107930162835812,3.703104615211487,0.10064349323511124,0.06451143197648554,0.03377546922322015
fzs4,1.0,1.0,-3.6987318992614746,-6.824147701263428,0.0,-0.22221845388412476,13.618454933166504,21.076465606689453,0.14559206691434148,0.16760919405090824,0.14520580654676207,0.16710363882193874,3.125415802001953,0.22221845388412476,0.022017127136566755,0.021897832275176665
2fzs4,1.0,1.0,-3.699568033218384,-6.822424411773682,0.0,-0.22221845388412476,13.619283676147461,21.074928283691406,0.14558504399856734,0.16765622244430076,0.14519176071521375,0.16711539592028687,3.122856378555298,0.22221845388412476,0.02207117844573342,0.021923635205073122
2fzs3,1.0,1.0,-2.360776424407959,-4.969568729400635,0.0,-0.2307710349559784,8.847289085388184,15.044771194458008,0.14122381330280706,0.1598259949444477,0.14010716969471385,0.15882664158485685,2.608792304992676,0.2307710349559784,0.018602181641640653,0.018719471890143002
