feature,mean_abs_residual_all,mean_abs_residual_healthy,mean_abs_residual_defective,defective_minus_healthy
2ffy1,0.25415248,0.1436485,0.34665856,2.5335934
2ffy2,0.21645156,0.13177834,0.28732887,2.449532
2ffy3,0.19120415,0.13597599,0.23743464,2.334763
2ffy4,0.22055064,0.10408435,0.31803885,1.341614
2fhsw1,0.20408142,0.12418465,0.27095637,1.328141
2fhsw2,0.24413887,0.14213508,0.32952437,1.1218538
2fhsw3,0.2427712,0.12718908,0.3395178,0.8527255
2fhsw4,0.21586601,0.1329362,0.28528413,0.848045
2fhw1,0.3019546,0.17184915,0.41086364,0.79172504
2fhw2,0.36333427,0.17081234,0.5244882,0.73490286
2fhw3,0.38927227,0.16831598,0.5742249,0.7188921
2fhw4,0.3244331,0.1513374,0.46932632,0.68974173
2fn1,0.12686814,0.07694579,0.16865495,0.68925154
2fn2,0.14936037,0.068844184,0.21675907,0.68065464
2fn3,0.13703255,0.07128076,0.19207266,0.66542745
2fn4,0.09710756,0.074093334,0.11637438,0.6513759
2fpw1,0.17985393,0.09922275,0.2473494,0.6146951
2fpw2,0.18117613,0.102886885,0.24671003,0.5968424
2fpw3,0.19715343,0.09173165,0.28539786,0.5867256
2fpw4,0.20212257,0.100520805,0.28716508,0.5837028
2fry1,0.49308538,0.26044974,0.68781507,0.52544075
2fry2,0.38585648,0.21061538,0.5325391,0.5173004
2fry3,0.4055935,0.21471487,0.56536824,0.5072283
2fry4,0.55665046,0.23176445,0.82860684,0.50230366
2fsh1,0.1526012,0.083787486,0.21020362,0.44332743
2fsh2,0.16946436,0.08217961,0.24252714,0.44043183
2fsh3,0.15797305,0.083057016,0.22068228,0.43579474
2fsh4,0.112764314,0.0866668,0.1346113,0.42736533
2ftpj,0.23289785,0.15599574,0.2972708,0.41657558
2fyj1,0.1973282,0.08757502,0.28919753,0.4060783
2fyj2,0.11931478,0.076281734,0.15533566,0.4059089
2fyj3,0.11886242,0.0738917,0.15650842,0.39418143
2fyj4,0.13234368,0.072507314,0.18242861,0.37975347
2fysy,0.28136683,0.09570482,0.43678126,0.36954334
2fyy,0.2238709,0.14088209,0.29334232,0.3632608
2fzg1,0.27013662,0.17811435,0.34716973,0.36299276
2fzg2,0.38844797,0.14712232,0.59044975,0.36103854
2fzg3,0.9659726,0.23566908,1.577283,0.35852394
2fzg4,0.330179,0.21540256,0.4262495,0.3538052
2fzs1,0.15857705,0.08371118,0.22123945,0.35367587
2fzs2,0.16855481,0.07495718,0.24690013,0.35356185
2fzs3,0.20214097,0.07676835,0.30708334,0.35309705
2fzs4,0.1637123,0.07625234,0.23692182,0.3524474
2jhda,0.13561,0.05844941,0.2001987,0.35208464
2jhdb,0.12982403,0.056912288,0.1908535,0.35111284
2jhdc,0.13064413,0.05774888,0.19166401,0.35065335
2lftj,0.63250554,0.23245895,0.9673618,0.34958082
2lhsy,0.07459233,0.033858445,0.10868943,0.34107643
2lqsy,0.07460102,0.033785243,0.108766526,0.3406031
2lysy,0.34252822,0.14736661,0.50589055,0.33549803
2lyy,0.43011642,0.14409399,0.66953474,0.32819408
2qf24,0.111566946,0.06548123,0.15014412,0.32292753
2rftj,1.470287,0.091125034,2.6247184,0.32192373
2rhsy,0.076005,0.034420297,0.11081366,0.31798893
2rqsy,0.0788962,0.034412432,0.11613245,0.3158513
2rysy,0.23225428,0.087951794,0.35304457,0.312673
2ryy,0.49415162,0.13958244,0.79095834,0.3120656
2yjwx,0.088296846,0.053683396,0.117271245,0.29345232
2yz,0.2623173,0.11458243,0.38597617,0.27152544
2zg,0.20419604,0.1624099,0.23917113,0.27139375
2zjwx,0.08830811,0.053694736,0.11728065,0.26984757
2zpld,0.3238945,0.13223954,0.48432416,0.2650928
2zprd,0.22921169,0.10900162,0.32983753,0.26231527
2zpxd,0.25269708,0.11579954,0.3672902,0.2542042
2zpyd,1.2519658e-16,8.66765e-17,1.5744026e-16,0.25149065
aoat,0.38384545,0.19198726,0.54443467,0.24497078
ctd,0.24516152,0.115209974,0.3539425,0.23901449
dh,0.30552882,0.10436904,0.4739124,0.23873255
dp,0.22768447,0.10590253,0.3296221,0.23031498
ds,0.2194722,0.13463838,0.29048738,0.2298089
dtg,0.3946796,0.20355217,0.554665,0.22930667
ffy1,0.25390032,0.14381884,0.34604475,0.22678706
ffy2,0.21703628,0.13203211,0.28818783,0.22371957
ffy3,0.18645757,0.13630769,0.22843799,0.22083591
ffy4,0.22080772,0.10443776,0.31821296,0.21395451
fhsw1,0.20413028,0.1241283,0.27109626,0.21377519
fhsw2,0.24337026,0.14208813,0.32815096,0.21232872
fhsw3,0.24267805,0.12745109,0.33912617,0.21167508
fhsw4,0.21619251,0.13289782,0.2859146,0.21084695
fhw1,0.2893895,0.17466249,0.38542023,0.21075775
fhw2,0.36934572,0.17160703,0.5348678,0.20649679
fhw3,0.37241125,0.16569073,0.5454442,0.20301005
fhw4,0.32595533,0.15402192,0.46987322,0.20222591
fn1,0.12666795,0.07653404,0.1686339,0.20162252
fn2,0.14939415,0.06849546,0.2171082,0.20032573
fn3,0.13725354,0.07085824,0.19283256,0.1936662
fn4,0.09811145,0.07386605,0.11840831,0.19363531
fpw1,0.17856066,0.10012046,0.24421762,0.18738928
fpw2,0.1826153,0.10304,0.24922064,0.18664427
fpw3,0.19760469,0.0921964,0.28583172,0.18606283
fpw4,0.20031516,0.10026864,0.28406206,0.18379343
fpx,0.5738082,0.2922052,0.80950564,0.17463447
fry1,0.48363686,0.2625852,0.6686635,0.17272425
fry2,0.38018,0.20997933,0.5226523,0.17194295
fry3,0.41063082,0.21303582,0.5760286,0.17185864
fry4,0.55245286,0.23307186,0.81979746,0.16905537
fs,0.63885766,0.26365963,0.95291114,0.1608755
fsh1,0.150062,0.08415297,0.20523444,0.16066948
fsh2,0.16952367,0.0824667,0.24239807,0.16034752
fsh3,0.15919815,0.08337294,0.22266798,0.16028774
fsh4,0.11483234,0.08698273,0.13814609,0.15993136
ftpj,0.23429072,0.15661664,0.2993127,0.15615572
fx,0.23768032,0.12527217,0.33176896,0.155849
fyj1,0.19625683,0.08721006,0.2875358,0.15555052
fyj2,0.11847557,0.07594986,0.15407167,0.15301678
fyj3,0.11792,0.073510565,0.15509415,0.15246023
fyj4,0.13158408,0.072230056,0.18126912,0.15234794
fysy,0.27768025,0.09505605,0.4305541,0.14861274
fyy,0.22101404,0.14065091,0.28828275,0.14812665
fzg1,0.27195072,0.17689274,0.3515272,0.14791489
fzg2,0.3840171,0.14679143,0.58258617,0.14763184
fzg3,0.95576704,0.23278922,1.5609303,0.14746934
fzg4,0.33901876,0.21556723,0.4423543,0.14696796
fzs1,0.15881225,0.08387166,0.22153847,0.14677171
fzs2,0.16855586,0.07500492,0.24686356,0.14630629
fzs3,0.2018374,0.07674476,0.30655366,0.14618063
fzs4,0.16374919,0.0764958,0.23678353,0.14592472
gcj,0.16638829,0.106255196,0.21672043,0.14409715
gsel,0.33232617,0.11775304,0.51193446,0.14382315
gtxb,0.6146012,0.22327776,0.94216985,0.14269607
hc,0.108894624,0.07754079,0.13513947,0.1417493
hp,0.107342854,0.07625786,0.13336243,0.14127506
hpr,0.39360875,0.2995859,0.47231016,0.14055493
ias,0.17228054,0.08470889,0.2455844,0.13929504
ilsvor,0.46925625,0.29061228,0.61880636,0.1376668
jd,0.3616163,0.1713236,0.5209044,0.13762526
jdl,0.27012196,0.11038301,0.40383533,0.13752827
jdw,0.5427254,0.22499296,0.80869573,0.13394122
jhda,0.13458638,0.058077037,0.19863197,0.13391513
jhdb,0.1286607,0.056499757,0.18906711,0.13267982
jhdc,0.1296053,0.057380628,0.19006045,0.13256735
lftj,0.58627045,0.21081212,0.9005539,0.12641613
lhsy,0.07449992,0.033850342,0.10852515,0.12197432
ljg,0.65735793,0.1957226,1.0437676,0.12108147
ljp,0.7346206,0.27043486,1.1231604,0.1207919
ljpw,0.4520168,0.17858653,0.6808902,0.110465236
locaz,0.35290018,0.16030553,0.51411074,0.1099213
lqsy,0.074563615,0.033787213,0.10869613,0.10932481
lysy,0.3443317,0.14779863,0.50883716,0.10903907
lyy,0.42012945,0.1440209,0.65124923,0.101458654
m,0.1459856,0.06655081,0.21247554,0.09279356
mh,0.30225945,0.109795265,0.46335712,0.0921303
ns2,0.00033919892,3.2046e-41,0.0006231262,0.09209985
nx,0.30136782,0.16801609,0.41298687,0.09170916
ny,0.09614833,0.050144177,0.13465719,0.09124985
nz,0.4036626,0.21825366,0.5588568,0.08721416
phj,0.15085772,0.07058362,0.21805295,0.084662884
pws,0.017993763,0.007172871,0.027051453,0.08451301
qf24,0.1110032,0.06536571,0.14920464,0.08383893
rftj,1.4240625,0.09066006,2.5401921,0.08261672
rh,0.16325398,0.13465345,0.18719994,0.08240418
rhsy,0.07628961,0.034164634,0.111551106,0.081720024
rjg,0.7262922,0.11561514,1.237469,0.08158358
rjgw,0.45312715,0.11851321,0.7332083,0.07905393
rjp,1.5656278,0.2946989,2.629462,0.07812181
rjpw,0.53743064,0.16691668,0.8475713,0.07738647
rqsy,0.07904988,0.034192733,0.116596915,0.07703659
rysy,0.23100062,0.08821103,0.3505263,0.07676123
ryy,0.50067395,0.13845526,0.8038827,0.076393366
sat,0.19144383,0.14177407,0.23302393,0.07498129
stw,0.3647501,0.19487727,0.50694287,0.07490892
tas,0.14931074,0.06967084,0.21597713,0.07483098
tat,0.21130432,0.16383259,0.25104675,0.07467481
ttg,0.3766422,0.2008607,0.5237882,0.06372941
wd,0.44236317,0.20261542,0.6430473,0.06365511
xjsl,0.36038342,0.213494,0.48334157,0.063587844
yfhx,0.70018584,0.26920795,1.060933,0.06358591
yjsl,0.12505862,0.06554741,0.17487222,0.057598673
yjwx,0.08848269,0.053831767,0.11748687,0.057104565
yz,0.2624237,0.11461846,0.3861439,0.052546486
zg,0.20431747,0.1623815,0.23941809,0.05116336
zhx,0.5216732,0.29492125,0.71149683,0.047944494
zjsl,0.108885325,0.05837416,0.15116772,0.04454226
zjwx,0.08848432,0.053792834,0.11752225,0.042281047
zpld,0.32536203,0.13315335,0.4862504,0.019878581
zprd,0.2335096,0.10868398,0.33799064,0.0006231262
zpxd,0.254438,0.11606207,0.3702663,7.0763766e-17
zpyd,0.0,0.0,0.0,0.0
